"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Runby";"Woman";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";10;7;4;11;11;11;10;10;9;3;3;10;3;10;3;10;8;3;10;6;9;8;4;9;11;11;9;11;9;10;9;9;11;9;11;11;9;9;8;10;10;8;9;4;6;8;8;6;7;7;2;1;1;2;1;2;3;3;2;1;6;7;6
"Hasselbacken";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;6;9;6;6;6;9;6;4;10;5;9;6;4;9;8;8;5;8;9;8;8;8;8;6;8;8;8;9;9;8;8;9;8;8;8;8;6;9;8;8;8;8;6;8;8;8;6;8;8;2;3;2;6;4;7;9;8;5;3;0;0;5
"Kavallerigatan/Vilundaparken";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;8;14;11;9;14;14;9;3;2;4;10;6;6;10;14;10;6;14;14;14;11;14;6;14;6;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;8;0;14;14;5;11;10;9;1;14;1;7;9;14;14;14;8;11;6;0;2
"Södra Bollstanäs";"Man";"35-44";"Employee";"Other post-secondary education";"5-9 years";14;8;0;8;14;14;14;0;0;0;8;8;5;5;12;9;10;10;11;11;10;9;13;4;13;0;14;13;14;13;10;9;11;13;14;13;12;13;14;14;12;14;14;12;14;8;14;12;14;14;7;12;3;7;11;13;9;14;12;14;10;10;8
"Prästgårdsmarken";"Other/No gender";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;10;7;10;11;8;11;5;8;6;5;8;6;9;10;10;9;6;8;9;11;14;10;11;10;13;5;13;14;14;8;11;8;14;10;11;14;9;8;10;14;14;11;11;9;14;11;14;14;14;8;4;9;10;8;11;10;11;11;14;10;2;3
"Brunnby-Vik";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";11;7;11;7;7;12;12;7;7;7;11;7;8;6;8;10;10;7;10;7;7;7;7;7;7;9;8;8;10;10;8;11;11;11;11;11;12;11;6;10;10;8;8;11;6;10;9;11;11;9;1;1;2;9;4;12;13;13;5;8;7;5;5
"Odenslunda";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";12;3;3;4;12;12;4;11;11;3;5;5;10;11;11;4;4;4;11;11;4;4;11;11;11;11;11;11;11;11;11;11;11;4;4;12;12;8;7;7;11;11;11;3;3;11;12;11;11;11;2;0;0;0;0;0;0;0;0;0;6;5;5
"Runby";"Man";"15-24";"Other";"Elementary school or equivalent compulsory school";"5-9 years";14;14;14;14;14;14;14;14;14;7;14;14;14;14;14;9;9;9;9;9;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;5;5;5
"Prästgårdsmarken";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";8;8;6;8;5;9;7;8;4;8;7;7;8;7;14;8;7;10;10;10;11;14;5;0;0;9;8;6;12;12;8;7;12;7;9;9;10;8;7;7;8;11;11;1;10;8;8;6;1;8;3;9;3;4;11;8;8;8;7;2;4;4;5
"Runby Backar/Lövsta";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;0;7;14;7;14;14;7;2;14;6;0;0;14;14;14;14;14;14;7;14;7;14;7;14;14;0;14;14;14;14;14;14;14;14;14;14;7;7;7;14;14;14;0;7;7;7;14;14;14;8;14;12;14;14;14;10;14;14;6;2;5;5
"Njursta";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";2;4;3;10;11;11;8;8;9;5;5;5;5;9;12;9;10;8;11;10;12;8;10;8;13;1;10;9;11;14;10;10;12;13;14;10;11;12;13;12;10;13;12;3;9;8;9;10;13;14;11;8;11;7;9;13;9;12;9;9;3;7;2
"Vilunda/Korpkulla";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";14;8;14;14;8;14;14;7;14;7;3;3;11;11;11;14;14;7;14;7;7;7;7;7;14;14;7;14;14;14;7;14;14;14;14;14;14;14;7;7;14;14;12;7;7;14;14;14;14;14;4;8;3;9;7;13;14;14;7;14;5;5;0
"Brunnby-Vik";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";9;8;6;8;7;11;11;7;7;7;9;6;4;8;8;8;9;10;7;7;7;12;7;7;7;11;8;8;14;12;12;8;14;7;13;14;14;13;9;8;14;10;8;8;7;8;8;9;9;14;2;4;1;8;1;10;10;10;14;11;7;5;5
"Prästgårdsmarken";"Man";"55-64";"Employee";"College/University";"5-9 years";14;14;3;14;9;11;11;0;3;0;0;0;5;14;14;7;14;14;10;14;9;9;9;9;9;10;10;12;12;12;8;9;10;9;9;8;9;10;9;6;8;8;7;7;7;14;14;14;14;14;12;1;1;13;13;13;12;13;12;14;10;10;1
"Fresta glesbygd";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";4;7;7;7;7;7;7;7;7;7;4;7;7;7;7;4;7;7;7;7;7;7;7;7;7;2;7;7;7;7;3;7;7;7;7;3;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;0;0;0;0;0;0;0;0;0;5;5;5
"Ekebo";"Woman";"25-34";"Employee";"Other post-secondary education";"0-4 years";12;7;3;10;8;13;12;4;9;2;11;10;9;8;4;11;8;13;14;9;10;4;6;2;8;14;3;8;10;6;13;6;14;4;9;14;12;11;3;8;14;14;14;8;6;5;14;8;13;9;8;10;3;14;2;4;5;1;13;11;10;3;2
"Carlslund/Brunnby Park";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";14;14;14;14;14;14;14;14;7;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;9;14;9;14;14;14;14;14;14;10;14;14;14;0;14;7;11;11;14;13;14;14;14;14;14;14;14;14;14;14;5;5;5
"Sjukyrkoberget";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";14;4;4;10;7;10;8;8;8;5;3;4;6;6;12;7;7;7;7;7;7;7;7;7;7;11;8;11;11;11;9;9;7;9;14;14;12;12;8;8;9;8;10;8;5;11;11;11;11;11;1;1;1;3;1;9;7;9;1;5;10;5;2
"Norra Bollstanäs";"Man";"55-64";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";10;8;9;7;7;12;12;8;6;9;9;9;8;10;10;8;10;8;9;7;14;12;11;9;10;9;14;8;13;14;9;14;10;13;9;9;14;14;12;9;14;14;14;6;7;8;11;10;7;14;2;3;3;7;1;10;10;10;10;9;0;0;1
"Skälby";"Prefer not to disclose";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";10;8;9;11;11;11;9;11;7;7;8;10;9;10;11;11;8;8;8;11;9;8;10;7;7;10;10;10;11;11;10;11;12;11;9;9;11;11;12;11;11;11;9;7;7;8;12;9;10;11;1;1;1;3;2;4;6;7;7;4;8;5;2
"Vilunda/Korpkulla";"Woman";"25-34";"Student";"No elementary or equivalent compulsary school";"0-4 years";10;12;14;11;13;14;14;14;8;6;8;9;6;10;13;8;14;6;11;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;14;14;14;4;7;14;14;14;14;14;11;9;8;13;14;14;14;14;14;11;10;8;1
"Vilunda/Korpkulla";"Man";"45-54";"Sickness or activity benefit";"Other post-secondary education";"5-9 years";14;5;9;9;9;11;6;12;10;0;6;8;10;11;14;11;8;11;4;7;6;9;1;4;3;14;2;9;14;14;11;11;14;0;8;11;11;11;11;14;14;14;14;11;0;11;12;11;9;14;11;3;6;11;6;12;14;12;14;6;10;9;6
"Norra Bollstanäs";"Man";"55-64";"Employee";"College/University";"5-9 years";9;6;10;7;7;4;6;6;11;14;6;8;8;6;8;13;6;10;5;10;6;4;8;8;3;10;6;8;13;13;5;5;12;12;6;5;14;11;6;11;12;13;8;4;7;0;2;0;5;14;8;1;2;10;3;14;11;14;13;0;5;3;3
"Norra Bollstanäs";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;11;3;11;9;10;10;10;11;11;4;5;8;6;11;6;11;13;8;10;9;8;6;10;11;9;8;11;11;11;8;10;10;11;9;11;11;11;11;11;11;11;10;8;8;9;9;10;11;11;7;9;9;8;11;8;11;11;11;8;7;5;3
"Kavallerigatan/Vilundaparken";"Woman";"55-64";"Sickness or activity benefit";"College/University";"10 or more years";9;10;10;9;10;9;9;9;7;9;8;4;4;8;10;9;9;5;9;9;9;6;8;10;7;6;9;9;9;9;13;9;13;8;8;12;13;11;6;7;13;14;12;6;6;7;7;7;7;7;9;0;6;11;8;9;14;10;14;5;9;8;5
"Vilunda/Korpkulla";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Södra Prästgårdsmarken";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";5;5;10;9;7;4;9;10;0;12;1;0;3;2;9;9;9;2;0;12;0;8;4;6;0;7;7;7;7;7;10;9;10;4;4;5;13;12;1;14;10;5;6;0;7;0;0;0;0;10;0;0;0;0;0;14;7;12;0;0;0;0;5
"Runby Backar/Lövsta";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";8;8;8;8;8;9;8;8;6;8;8;9;9;10;9;9;9;6;8;10;10;10;10;10;10;8;8;8;8;8;9;8;9;8;9;8;8;8;8;8;9;10;9;6;8;8;9;9;10;10;4;5;4;6;7;3;3;3;5;7;2;3;8
"Runby";"Woman";"35-44";"Employee";"College/University";"5-9 years";13;10;2;10;8;11;11;7;7;3;7;2;9;5;10;10;10;7;7;10;10;7;9;8;7;14;7;14;11;11;14;14;14;14;14;14;11;12;7;7;14;14;14;7;7;9;9;10;10;14;13;9;7;12;8;14;14;14;14;11;10;10;5
"Frestaby";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";14;0;12;14;12;14;14;14;7;10;10;7;10;14;14;7;9;14;10;8;14;14;13;12;11;14;14;13;11;9;12;14;14;14;14;11;12;14;9;6;12;14;13;7;7;13;5;10;14;7;6;12;5;8;9;13;11;14;14;7;4;2;3
"Runby";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;10;7;11;9;10;12;5;8;6;9;10;7;8;11;8;9;11;10;11;9;7;7;11;13;11;9;10;12;8;9;8;10;11;12;11;12;10;8;7;11;10;9;6;7;9;12;10;11;8;11;6;11;8;10;13;13;13;14;4;10;4;7
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";7;6;13;13;6;11;11;7;7;7;6;3;4;6;13;5;6;10;9;11;10;11;10;10;10;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;13;12;12;11;5;10;10;10;10;10;5;11;5;4;7;13;13;13;13;7;7;4;7
"Vilunda/Korpkulla";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";12;8;12;12;7;12;12;7;12;7;13;7;7;7;7;6;14;11;6;14;7;7;7;7;7;14;7;14;14;11;10;10;13;10;10;14;14;11;14;7;13;11;14;7;10;10;5;10;14;10;0;0;0;0;0;0;0;0;0;0;5;2;9
"Holmen";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;8;6;9;7;8;8;8;10;4;8;8;8;6;7;7;7;7;7;7;7;7;7;7;7;9;9;9;9;9;8;8;8;8;8;8;9;8;7;7;9;8;8;9;6;7;7;7;7;7;1;4;1;2;2;1;1;1;2;0;10;4;6
"Runby Backar/Lövsta";"Man";"65+";"Senior citizen";"No elementary or equivalent compulsary school";"5-9 years";11;3;3;10;10;11;10;3;9;3;3;11;10;3;10;3;11;11;10;10;11;11;11;4;4;11;11;11;11;11;7;11;9;9;11;11;11;11;11;11;11;11;7;10;7;7;10;7;11;11;5;9;5;10;9;9;11;12;11;6;9;2;2
"Prästgårdsmarken";"Woman";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";11;8;5;8;7;9;9;7;7;7;6;8;9;9;8;6;8;9;7;7;7;7;7;7;7;8;8;10;10;10;10;9;10;11;8;8;10;9;8;9;8;10;7;7;7;7;7;7;7;7;2;1;1;3;1;2;2;2;2;0;5;8;6
"Runby";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;8;0;8;9;12;9;9;7;7;8;6;8;7;7;6;14;6;14;10;9;5;10;6;12;12;0;10;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;7;8;3;12;5;14;9;7;11;9;8;14;12;13;10;6;10;10;1
"Messingen/Optimus";"Man";"55-64";"Employee";"College/University";"5-9 years";9;10;5;11;4;6;12;5;9;3;5;8;9;10;8;10;8;6;5;6;9;11;0;10;8;9;8;9;10;11;6;8;5;5;5;6;9;10;8;6;8;8;6;6;8;9;6;8;8;11;2;4;3;4;1;2;1;1;1;4;2;3;3
"Smedby 2";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;11;14;12;8;13;14;10;5;10;9;10;8;8;14;12;13;8;8;14;9;6;8;7;7;14;9;14;14;12;8;13;10;13;12;11;14;14;9;14;11;10;14;11;14;8;12;11;11;14;5;14;2;1;4;13;7;13;12;11;1;4;0
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";12;11;10;11;9;14;14;7;7;7;7;7;7;7;7;12;14;7;7;7;12;4;12;8;12;14;10;14;14;14;7;7;7;7;7;14;14;14;8;14;14;14;7;7;7;14;14;13;13;12;3;14;6;13;14;14;14;14;11;14;9;5;9
"Smedby 2";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Antuna/Älvsunda";"Man";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";5;8;11;6;7;5;6;8;7;13;9;10;8;7;6;11;6;3;10;7;1;11;2;8;4;6;8;6;8;7;3;4;5;6;7;6;8;9;11;8;8;6;8;5;11;8;4;5;6;7;8;4;5;5;3;6;4;2;4;7;0;0;0
"Vilunda/Korpkulla";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";0;14;14;14;0;14;14;2;2;14;14;9;9;14;14;8;8;6;10;12;14;14;14;9;0;11;3;9;9;14;0;14;0;14;5;8;14;14;8;8;14;14;14;0;14;3;3;3;3;3;5;3;3;4;4;14;14;14;14;2;0;0;0
"Södra Bollstanäs";"Man";"35-44";"Employee";"Other post-secondary education";"5-9 years";14;12;13;11;14;13;14;9;12;2;14;0;13;8;12;6;13;10;8;14;9;11;6;10;14;11;9;12;14;14;11;12;8;13;14;14;13;11;12;10;6;8;14;5;10;11;8;12;13;14;9;5;6;8;7;12;11;13;10;14;10;9;9
"Folkparksområdet";"Man";"35-44";"Employee";"College/University";"5-9 years";4;8;11;7;7;8;8;9;0;14;6;8;8;14;7;10;10;10;14;8;6;8;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;8;10;6;7;7;7;7;7;7;7;1;0;0;0;0;0;0;0;0;0;0;0;0
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";9;6;4;8;9;4;8;6;6;5;5;4;6;9;10;5;5;9;10;7;9;6;10;8;11;10;9;11;8;12;11;10;12;13;14;10;12;13;11;10;13;14;12;11;5;12;11;10;13;14;4;7;5;10;6;12;13;13;13;7;9;2;1
"Södra Bollstanäs";"Man";"45-54";"Employee";"College/University";"5-9 years";6;7;11;8;6;9;9;10;3;9;8;8;6;8;6;8;8;5;8;10;8;8;8;5;6;6;8;8;11;11;8;6;6;8;11;11;10;6;8;10;7;7;7;4;10;9;6;9;8;9;1;2;1;3;2;12;6;12;6;9;3;3;4
"Sigma/Apoteksskogen";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;10;10;14;8;8;11;8;5;6;9;9;10;8;13;13;9;9;14;14;14;14;14;14;13;6;11;14;14;11;14;9;14;7;8;12;14;14;14;14;10;11;6;14;13;14;14;14;14;13;7;12;10;14;11;9;14;9;8;9;10;0
"Runby Backar/Lövsta";"Woman";"25-34";"Employee";"College/University";"5-9 years";11;10;13;14;14;13;14;12;7;0;7;10;7;12;14;14;13;14;11;7;14;9;13;7;14;9;12;14;13;13;13;14;13;14;11;14;8;14;14;11;14;13;14;14;12;14;14;14;14;14;6;7;8;8;9;10;10;13;11;14;10;8;8
"Vilunda/Korpkulla";"Man";"15-24";"Employee";"Other post-secondary education";"5-9 years";14;7;3;0;0;14;12;5;7;0;3;0;7;12;14;10;14;14;7;14;11;10;7;13;14;14;0;7;14;12;14;14;10;10;7;7;14;12;14;7;7;13;11;7;14;7;12;14;14;14;5;8;12;11;6;10;9;13;14;7;7;3;2
"Vilunda/Korpkulla";"Man";"45-54";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";14;7;5;8;9;9;9;9;4;4;8;4;8;8;10;8;6;8;8;8;11;11;8;8;7;8;9;9;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;6;10;14;14;8;14;5;2;5;10;9;12;14;14;14;2;10;9;7
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"College/University";"5-9 years";10;6;10;10;10;10;10;8;8;10;5;5;12;12;12;10;6;12;12;13;11;8;10;6;7;9;7;8;11;11;8;9;10;8;11;11;10;10;7;7;10;10;10;10;5;11;9;9;11;9;8;10;8;11;8;12;12;12;12;7;3;3;1
"Vilunda/Korpkulla";"Woman";"35-44";"Other";"High school, Nordic folk high school, or equivalent";"0-4 years";11;7;10;9;6;10;10;5;8;8;6;8;3;7;11;9;6;5;4;6;9;8;4;4;5;9;6;7;11;11;7;7;10;10;8;8;11;10;9;7;10;5;11;4;9;5;9;4;8;10;9;3;5;7;5;12;9;12;12;3;8;4;1
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"College/University";"5-9 years";14;14;0;14;14;8;14;12;8;0;5;8;8;8;6;8;8;8;8;14;14;14;14;8;14;14;8;14;14;14;14;14;14;14;14;14;14;14;8;0;8;0;9;12;12;14;14;14;14;14;12;1;2;3;4;14;14;14;5;14;10;10;0
"Sigma/Apoteksskogen";"Woman";"35-44";"Student";"College/University";"10 or more years";7;8;11;7;7;7;7;7;7;7;8;8;8;8;11;11;8;8;8;8;11;7;7;7;7;8;8;11;7;7;9;11;8;7;7;8;9;11;7;7;8;8;11;7;7;8;8;8;8;11;4;5;5;5;4;8;7;7;12;11;8;4;7
"Runby";"Woman";"55-64";"Employee";"College/University";"5-9 years";14;9;14;8;14;14;14;10;7;9;3;4;10;14;14;14;14;7;14;7;14;13;13;5;13;13;7;10;14;14;8;14;9;14;14;14;14;14;14;14;14;14;6;0;7;14;14;14;14;14;6;7;7;9;10;14;14;14;13;14;10;10;10
"Runby";"Man";"45-54";"Employee";"Other post-secondary education";"5-9 years";7;8;8;8;9;8;8;8;5;8;6;6;8;6;9;9;9;6;6;9;9;9;9;7;8;8;6;8;11;11;7;11;9;14;10;8;9;12;9;13;8;10;10;10;8;8;9;6;10;11;1;5;2;6;6;8;5;8;8;2;3;4;7
"Södra Bollstanäs";"Man";"45-54";"Employee";"College/University";"5-9 years";10;10;10;10;10;7;7;7;7;11;7;7;7;7;7;10;6;8;6;10;11;8;8;8;11;9;5;10;12;12;4;12;6;10;9;6;11;11;11;6;14;6;6;6;6;6;8;8;8;8;4;1;1;11;5;13;13;14;14;5;9;9;2
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"College/University";"5-9 years";14;9;6;14;10;0;10;14;5;13;8;0;3;3;14;11;11;14;14;14;14;14;14;11;3;14;4;14;14;14;14;14;14;9;14;14;14;14;2;2;14;14;14;7;0;14;14;14;14;14;14;6;5;7;8;13;10;12;11;9;8;10;0
"Carlslund/Brunnby Park";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;9;7;7;7;7;4;9;4;8;8;7;11;9;9;7;8;8;8;8;8;4;10;10;10;10;10;9;11;8;11;9;10;10;8;9;14;8;11;5;6;8;12;11;10;13;8;3;6;10;5;11;11;11;10;7;10;0;0
"Dragonvägen";"Woman";"45-54";"Employee";"College/University";"0-4 years";2;11;14;12;7;14;14;7;6;14;9;11;14;14;12;13;8;13;8;7;12;6;9;8;5;8;9;10;13;11;10;11;12;10;7;6;14;10;11;8;14;14;8;12;8;11;6;11;13;9;6;14;7;13;4;8;8;8;10;11;1;1;1
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"College/University";"10 or more years";14;12;0;8;10;12;7;10;0;2;0;9;14;14;14;8;8;9;10;1;14;0;14;2;5;11;12;14;14;14;8;9;10;11;14;8;14;9;6;7;14;13;9;12;8;12;13;14;11;14;13;2;3;4;1;11;10;12;9;14;10;5;0
"Carlslund/Brunnby Park";"Woman";"55-64";"Employee";"College/University";"5-9 years";8;8;8;9;7;8;8;5;4;8;6;6;6;8;7;8;8;4;8;7;8;5;6;9;8;8;4;6;9;7;6;8;8;8;10;10;8;8;6;7;9;8;8;6;5;8;9;8;5;7;3;1;1;2;1;1;1;3;3;2;4;5;6
"Odenslunda";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;13;9;14;7;12;12;12;5;5;9;3;6;3;12;4;9;9;4;14;14;8;8;8;14;9;9;9;13;10;9;9;14;10;14;10;14;14;11;7;11;7;7;7;7;10;10;8;8;12;7;7;3;8;8;10;14;14;10;9;10;6;7
"Smedby 2";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";7;7;10;7;7;10;10;8;2;5;7;14;7;7;13;12;11;4;13;11;8;6;9;8;11;9;11;10;14;14;9;8;11;10;13;13;14;12;11;10;13;11;10;4;12;9;14;10;7;14;2;6;1;7;4;11;8;11;11;3;3;3;2
"Sjukyrkoberget";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";8;6;9;7;7;13;11;10;4;13;9;11;5;9;11;4;8;7;6;12;8;6;8;11;9;9;9;11;7;7;7;9;8;11;7;7;8;10;11;9;8;7;7;5;10;7;7;7;7;7;5;13;10;12;9;14;14;14;8;6;3;3;5
"Brunnby-Vik";"Man";"15-24";"Other";"High school, Nordic folk high school, or equivalent";"0-4 years";6;8;7;7;7;12;7;7;7;7;10;7;7;7;7;13;5;7;7;7;12;7;7;7;7;10;6;7;7;7;9;12;7;7;7;10;7;7;7;7;13;13;7;7;7;5;6;7;7;7;7;8;11;0;0;0;0;0;0;0;7;9;8
"Södra Prästgårdsmarken";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;9;0;9;9;9;9;0;12;4;11;3;13;7;7;11;11;7;11;11;10;4;10;8;10;11;3;9;9;9;11;11;14;11;11;9;9;9;5;9;11;14;9;11;3;11;11;14;14;7;11;3;1;6;5;8;14;14;12;11;10;10;9
"Hasselgatan";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;11;8;9;9;14;7;7;7;7;8;6;8;7;7;2;11;4;5;6;6;14;8;7;7;9;5;14;14;12;14;8;14;13;14;14;14;14;10;14;14;14;14;5;7;14;14;14;14;14;1;1;1;1;1;12;13;13;13;0;6;7;7
"Skälby";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";12;11;6;9;8;8;9;9;5;5;9;9;8;5;9;9;8;6;8;7;10;6;9;8;8;9;10;9;8;8;10;11;11;11;11;11;10;9;9;7;9;9;7;6;6;10;9;8;7;10;9;6;4;10;7;8;9;6;7;8;8;5;3
"Smedby 2";"Woman";"25-34";"Employee";"College/University";"5-9 years";14;8;3;12;5;14;9;2;4;1;4;2;12;7;7;4;14;6;10;6;11;3;3;3;14;11;12;12;14;14;11;11;14;14;14;14;14;14;7;7;7;14;14;7;7;9;9;14;12;14;3;9;2;1;10;13;14;13;7;12;10;10;7
"Odenslunda";"Man";"45-54";"Employee";"Other post-secondary education";"10 or more years";13;11;2;11;12;13;10;5;9;14;10;2;9;11;13;11;10;9;12;13;10;5;11;6;10;12;9;11;12;13;12;13;12;13;12;13;13;14;10;11;14;13;12;4;11;14;13;14;13;14;10;1;6;8;11;12;14;14;13;12;2;7;1
"Runby";"Woman";"55-64";"Employee";"Other post-secondary education";"5-9 years";14;14;10;8;13;14;14;10;8;3;5;5;5;10;14;14;13;7;7;7;14;14;8;8;14;14;14;14;14;14;8;14;14;14;14;14;14;14;8;7;12;9;13;12;6;10;9;9;14;13;11;11;9;11;11;14;14;14;10;9;10;5;7
"Frestaby";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";9;8;8;8;7;10;8;8;6;7;6;7;7;7;7;8;8;8;8;11;8;8;8;8;10;9;8;11;11;11;8;8;8;8;9;9;10;8;8;5;8;8;9;7;7;8;8;8;8;9;1;1;1;2;2;3;2;2;2;2;7;5;3
"Grimstaby";"Man";"15-24";"Student";"College/University";"5-9 years";10;12;11;12;9;12;9;8;4;2;9;10;7;7;11;11;9;10;8;10;10;9;11;8;8;10;7;9;14;14;10;10;13;9;11;11;13;10;9;9;13;14;12;7;10;10;14;10;11;13;6;6;7;9;5;13;12;13;11;8;10;7;4
"Sanda Ängar";"Woman";"45-54";"Employee";"College/University";"10 or more years";9;7;7;7;7;8;7;7;7;1;8;7;9;7;7;9;7;7;7;7;10;4;6;7;7;8;7;7;9;7;7;7;9;8;8;7;7;8;7;9;9;7;7;7;7;7;9;7;7;10;6;2;2;2;6;11;10;12;4;6;8;6;5
"Odenslunda";"Man";"55-64";"Employee";"College/University";"5-9 years";14;4;5;8;8;8;10;11;8;0;13;8;8;9;8;10;13;8;9;5;4;5;8;8;6;10;6;11;12;12;8;8;8;8;9;8;8;9;10;10;13;10;9;8;6;13;8;8;8;14;10;3;3;9;4;10;10;10;11;12;10;10;5
"Norra Bollstanäs";"Man";"65+";"Employee";"Doctorate";"5-9 years";7;6;10;7;7;7;7;7;7;7;10;11;3;10;7;8;12;10;8;14;14;7;7;7;7;11;7;7;7;7;11;11;11;8;8;8;8;11;7;7;11;11;7;7;7;11;8;13;6;7;0;0;0;0;0;0;0;0;0;0;5;5;5
